Year,Catch,
1950,3646,
1951,2581,
1952,2993,
1953,3303,
1954,3034,
1955,3502,
1956,3358,
1957,4578,
1958,4904,
1959,6232,
1960,3828,
1961,4381,
1962,5342,
1963,10190,
1964,11258,
1965,8652,
1966,9349,
1967,9107,
1968,9172,
1969,9203,
1970,9578,
1971,5266,
1972,4766,
1973,6074,
1974,6362,
1975,8839,
1976,6696,
1977,6409,
1978,11827,
1979,11937,
1980,13558,
1981,11180,
1982,13215,
1983,14527,
1984,12791,
1985,14383,
1986,18486.4,
1987,20238.32,
1988,19513.4,
1989,17250.111,
1990,15672.1,
1991,14933.7,
1992,15394,
1993,16737.831,
1994,15501.26,
1995,16872.222,
1996,15221.72,
1997,13024.67,
1998,12223.331,
1999,11621.667,
2000,11452.515,
2001,10010.788,
2002,9654.023,
2003,11442.455,
2004,12067.6005,
2005,12372.653,
2006,11470.1375,
2007,12301.98599,
2008,11049.71938,
2009,12081.40982,
2010,11553.46699,
2011,12523.14949,
2012,13868.21656,
2013,12069.48715,
2014,10670.36408,
2015,10668.34414,
