Year,CAN_LL,POR_LL,SPA_LL,JPN_LL1,JPN_LL2,JPN_LL3,USA_LL,MOR_LL,TAI_LL1,TAI_LL2,TAI_LL3
1950,,,,,,,,,,,
1951,,,,,,,,,,,
1952,,,,,,,,,,,
1953,,,,,,,,,,,
1954,,,,,,,,,,,
1955,,,,,,,,,,,
1956,,,,,,,,,,,
1957,,,,,,,,,,,
1958,,,,,,,,,,,
1959,,,,,,,,,,,
1960,,,,,,,,,,,
1961,,,,,,,,,,,
1962,0.19,,,,,,,,,,
1963,0.07,,,,,,,,,,
1964,0.06,,,,,,,,,,
1965,0.06,,,,,,,,,,
1966,0.05,,,,,,,,,,
1967,0.05,,,,,,,,,,
1968,0.05,,,,,,,,9.908,,
1969,0.05,,,,,,,,7.999,,
1970,0.05,,,,,,,,6.606,,
1971,,,,,,,,,7.367,,
1972,,,,,,,,,10.286,,
1973,,,,,,,,,10.085,,
1974,,,,0.085804043,,,,,7.892,,
1975,,,,0.055286956,,,,,8.235,,
1976,,,,0.072279862,,,,,7.823,,
1977,,,,0.077329054,,,,,7.414,,
1978,,,,0.063295057,,,,,8.55,,
1979,0.1,,,0.054341888,,,,,11.093,,
1980,0.07,,,0.042443358,,,,,9.283,,
1981,0.1,,,0.066756589,,,,,8.286,,
1982,0.1,,,0.068660283,,,,,7.81,,
1983,0.11,,,0.074121276,,,,,7.474,,
1984,0.11,,,0.06608465,,,,,6.776,,
1985,0.1,,,0.058834638,,,,,6.599,,
1986,0.11,,0.01568863,0.062449695,,,,,6.565,,
1987,0.1,,0.01613504,0.064965975,,,,,8.901,,
1988,0.1,,0.016649,0.060034606,,,,,17.851,,
1989,0.09,,0.01645,0.058502106,,,,,20.8,,
1990,0.09,,0.01631855,0.060663,,,,,,14.839,
1991,0.06,,0.01628197,0.068590315,,,,,,9.633,
1992,0.06,,0.01634784,0.076355076,,,0.092,,,13.758,
1993,0.05,,0.01677626,0.086829191,,,0.081,,,11.862,
1994,0.04,,0.01677404,0.162460466,,,0.084,,,8.827,
1995,0.04,,0.01637318,0.148958666,,,0.082,,,9.166,
1996,0.05,,0.01678665,0.120725051,,,0.094,,,7.928,
1997,0.05,,0.01681158,0.101724194,,,0.088,,,,10.772
1998,0.05,,0.01662362,0.08133582,,,0.094,,,,12.584
1999,0.05,0.1301932,0.01643546,,,,0.088,,,,8.265
2000,0.05,0.1596646,0.01578321,,,,0.087,,,,10.729
2001,0.05,0.1604277,0.01655753,,,,0.089,,,,9.377
2002,0.06,0.1399874,0.01622457,,,,0.088,,,,7.943
2003,0.05,0.1441764,0.01596504,,,,0.084,,,,8.821
2004,0.05,0.1387227,0.01628542,,,,0.079,,,,7.126
2005,0.05,0.1222388,0.01641582,,,,0.083,0.06,,,7.193
2006,0.05,0.115026,0.01678402,,0.311994528,,0.083,0.05,,,7.267
2007,0.06,0.1180653,0.01637053,,0.376322605,,0.081,0.07,,,8.778
2008,0.06,0.1208462,0.01595935,,0.295565747,,0.08,0.06,,,8.918
2009,0.06,0.1171717,0.01615402,,0.274965441,,0.079,0.06,,,9.404
2010,0.06,0.1200564,0.01613865,,0.259022128,,0.08,0.05,,,8.592
2011,0.06,0.1071782,0.0160632,,,0.273854504,0.081,0.05,,,8.585
2012,0.06,0.1159772,0.01583447,,,0.313713845,0.08,0.05,,,9.647
2013,0.06,0.1313136,0.01613722,,,0.38261938,0.079,0.05,,,10.175
2014,0.05,0.111913,0.01604974,,,0.319002825,0.08,0.05,,,11.648
2015,0.05,0.1208368,0.01609488,,,0.30584257,0.08,0.05,,,8.835
2016,0.05,0.1434598,,,,,,0.06,,,
