Year,CAN_LL,POR_LL,SPA_LL,JPN_LL1,JPN_LL2,JPN_LL3,USA_LL,MOR_LL,TAI_LL1,TAI_LL2,TAI_LL3,Comb-base,Comb-s1,Comb-s2,Comb-s3
1950,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,
1962,0.19,,,,,,,,,,,,,,
1963,0.07,,,,,,,,,,,0.3533291,0.334700395,2.355692684,1.709569014
1964,0.06,,,,,,,,,,,0.349197091,0.332874992,0.835764335,0.603109174
1965,0.06,,,,,,,,,,,0.348434019,0.333338554,0.516516358,0.3719709
1966,0.05,,,,,,,,,,,0.347718556,0.333506305,0.521312541,0.37801019
1967,0.05,,,,,,,,,,,0.347194316,0.332657696,0.6115162,0.442974522
1968,0.05,,,,,,,,9.908,,,0.351484946,0.335862258,0.48498898,0.349768859
1969,0.05,,,,,,,,7.999,,,0.347451078,0.333044967,0.444002107,0.321721759
1970,0.05,,,,,,,,6.606,,,0.347836661,0.332905081,0.504363975,0.365703029
1971,,,,,,,,,7.367,,,,,,
1972,,,,,,,,,10.286,,,,,,
1973,,,,,,,,,10.085,,,,,,
1974,,,,0.085804043,,,,,7.892,,,,,,
1975,,,,0.055286956,,,,,8.235,,,0.318711162,0.308406238,0.930502568,0.761288643
1976,,,,0.072279862,,,,,7.823,,,0.319006343,0.311913228,0.761823388,0.626256249
1977,,,,0.077329054,,,,,7.414,,,0.320319867,0.317847875,0.876368145,0.722377126
1978,,,,0.063295057,,,,,8.55,,,0.286652939,0.304487025,1.061765117,0.882162476
1979,0.1,,,0.054341888,,,,,11.093,,,0.197668148,0.21127483,0.971468672,0.864992753
1980,0.07,,,0.042443358,,,,,9.283,,,0.196853189,0.20406916,0.97303269,0.805260926
1981,0.1,,,0.066756589,,,,,8.286,,,0.204171498,0.21387359,0.878278661,0.745802905
1982,0.1,,,0.068660283,,,,,7.81,,,0.177994069,0.185889539,0.904279317,0.71872724
1983,0.11,,,0.074121276,,,,,7.474,,,0.175905046,0.187310511,0.728944809,0.539855853
1984,0.11,,,0.06608465,,,,,6.776,,,0.170207168,0.182509299,0.665541292,0.494093985
1985,0.1,,,0.058834638,,,,,6.599,,,0.167614479,0.178050518,0.764339783,0.606449439
1986,0.11,,0.01568863,0.062449695,,,,,6.565,,,0.167448078,0.177264511,0.743627001,0.574919991
1987,0.1,,0.01613504,0.064965975,,,,,8.901,,,0.167112928,0.180342154,0.601335516,0.477757358
1988,0.1,,0.016649,0.060034606,,,,,17.851,,,0.166094926,0.176873805,0.627797409,0.470494905
1989,0.09,,0.01645,0.058502106,,,,,20.8,,,0.159011319,0.170196996,0.55246672,0.479374298
1990,0.09,,0.01631855,0.060663,,,,,,14.839,,0.157815962,0.17088802,0.625584806,0.495845854
1991,0.06,,0.01628197,0.068590315,,,,,,9.633,,0.156259015,0.167546693,0.630538617,0.510522601
1992,0.06,,0.01634784,0.076355076,,,0.092,,,13.758,,0.157470754,0.16753317,0.524182141,0.421712958
1993,0.05,,0.01677626,0.086829191,,,0.081,,,11.862,,0.156551901,0.165325222,0.513394613,0.425761089
1994,0.04,,0.01677404,0.162460466,,,0.084,,,8.827,,0.164196042,0.171983475,0.417043362,0.317931622
1995,0.04,,0.01637318,0.148958666,,,0.082,,,9.166,,0.159553061,0.168823218,0.456565153,0.376193723
1996,0.05,,0.01678665,0.120725051,,,0.094,,,7.928,,0.161530282,0.170840003,0.339896867,0.283626217
1997,0.05,,0.01681158,0.101724194,,,0.088,,,,10.772,0.153524369,0.166579835,0.388960585,0.341760723
1998,0.05,,0.01662362,0.08133582,,,0.094,,,,12.584,0.153954241,0.164325904,0.450596555,0.362116662
1999,0.05,0.1301932,0.01643546,,,,0.088,,,,8.265,0.152776074,0.16317398,0.49223515,0.385874822
2000,0.05,0.1596646,0.01578321,,,,0.087,,,,10.729,0.159600576,0.169870516,0.486445766,0.435992452
2001,0.05,0.1604277,0.01655753,,,,0.089,,,,9.377,0.174683114,0.185426273,0.485608151,0.498658803
2002,0.06,0.1399874,0.01622457,,,,0.088,,,,7.943,0.172734049,0.184260611,0.513857411,0.531315539
2003,0.05,0.1441764,0.01596504,,,,0.084,,,,8.821,0.171283972,0.180189065,0.52768786,0.655111007
2004,0.05,0.1387227,0.01628542,,,,0.079,,,,7.126,0.155101914,0.167582811,0.436146358,0.456585044
2005,0.05,0.1222388,0.01641582,,,,0.083,0.06,,,7.193,0.155455945,0.168273825,0.431475495,0.37552875
2006,0.05,0.115026,0.01678402,,0.311994528,,0.083,0.05,,,7.267,0.158423459,0.169607567,0.405924349,0.339335131
2007,0.06,0.1180653,0.01637053,,0.376322605,,0.081,0.07,,,8.778,0.156988436,0.168287392,0.494153096,0.423002217
2008,0.06,0.1208462,0.01595935,,0.295565747,,0.08,0.06,,,8.918,0.156463954,0.167829494,0.621546358,0.483597008
2009,0.06,0.1171717,0.01615402,,0.274965441,,0.079,0.06,,,9.404,0.157553387,0.169200236,0.620686431,0.502300644
2010,0.06,0.1200564,0.01613865,,0.259022128,,0.08,0.05,,,8.592,0.156844922,0.168164859,0.694806425,0.52033201
2011,0.06,0.1071782,0.0160632,,,0.273854504,0.081,0.05,,,8.585,0.158378872,0.171750234,0.644798124,0.49069738
2012,0.06,0.1159772,0.01583447,,,0.313713845,0.08,0.05,,,9.647,0.157409649,0.170582251,0.704833667,0.569064363
2013,0.06,0.1313136,0.01613722,,,0.38261938,0.079,0.05,,,10.175,0.159084333,0.174518229,0.471185676,0.404052291
2014,0.05,0.111913,0.01604974,,,0.319002825,0.08,0.05,,,11.648,0.159728964,0.17369535,0.52883896,0.451822569
2015,0.05,0.1208368,0.01609488,,,0.30584257,0.08,0.05,,,8.835,0.159980629,0.174801365,0.518065017,0.429570862
2016,0.05,0.1434598,,,,,,0.06,,,,,,,
